,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
287,155.999,True,1.075406,1.111074,1.149014,1.1402
288,156.169,False,2.820926,6.9e-05,0.0,0.0
289,156.999,True,1.07513,1.110936,1.149289,1.139993
290,157.169,False,3.102412,6.9e-05,0.0,0.0
291,157.999,True,1.075337,1.111211,1.148807,1.140475
292,158.169,False,0.0,6.9e-05,0.0,0.0
293,158.999,True,1.075406,1.111142,1.149014,1.140338
294,159.169,False,0.285067,6.9e-05,0.0,0.0
295,159.999,True,1.075406,1.111074,1.149151,1.140338
296,160.169,False,0.745306,6.9e-05,0.0,0.0
297,160.999,True,1.075475,1.111005,1.149014,1.1402
298,161.169,False,0.846112,6.9e-05,0.0,0.0
299,161.999,True,1.075337,1.111005,1.14922,1.1402
300,162.169,False,1.201689,6.9e-05,0.0,0.0
301,162.999,True,1.075406,1.111005,1.149082,1.139856
302,163.169,False,1.487101,6.9e-05,0.0,0.0
303,163.999,True,1.075475,1.110936,1.14922,1.140062
304,164.169,False,1.715292,6.9e-05,0.0,0.0
305,164.999,True,1.075337,1.111211,1.149014,1.139993
306,165.169,False,2.078443,6.9e-05,0.0,0.0
307,165.999,True,1.07513,1.111142,1.148945,1.139856
308,166.169,False,2.31352,6.9e-05,0.0,0.0
309,166.999,True,1.075406,1.111142,1.149082,1.139925
310,167.169,False,2.538338,6.9e-05,0.0,0.0
311,167.319,False,4.377641,0.0,0.0,0.0
312,167.394,False,1.075406,1.111211,1.148807,1.140062
313,167.431,False,1.669089,1.162372,1.244036,1.241351
314,167.47,False,1.075337,1.110798,1.148807,1.139993
315,167.999,True,1.075337,1.111074,1.148807,1.140062
316,168.319,False,2.820995,0.000275,0.0,0.0
317,168.999,True,1.075337,1.111074,1.149014,1.140131
318,169.319,False,3.102412,6.9e-05,0.0,0.0
319,169.999,True,1.075268,1.110936,1.149151,1.140131
320,170.319,False,0.0,6.9e-05,0.0,0.0
321,170.999,True,1.075406,1.111211,1.148945,1.139856
322,171.173,False,1.075406,1.111005,1.149082,1.139993
323,171.319,False,0.284998,0.000138,0.0,0.0
324,171.654,False,1.075337,1.111005,1.149151,1.140062
325,171.999,True,1.075337,1.111142,1.149151,1.140269
326,172.319,False,0.745306,0.000138,0.0,0.0
327,172.999,True,1.075337,1.111074,1.148945,1.140131
328,173.319,False,0.846112,6.9e-05,0.0,0.0
329,173.999,True,1.075268,1.111005,1.148876,1.140062
330,174.319,False,1.201758,6.9e-05,0.0,0.0
331,174.999,True,1.075199,1.110867,1.148945,1.139993
332,175.319,False,1.516158,6.9e-05,0.0,0.0
333,175.999,True,1.075406,1.110867,1.149014,1.140062
334,176.295,False,1.075199,1.110867,1.149082,1.140269
335,176.319,False,1.715361,0.000138,0.0,0.0
336,176.999,True,1.075268,1.111211,1.149289,1.1402
337,177.319,False,2.120377,6.9e-05,0.0,0.0
338,177.999,True,1.075199,1.111005,1.148807,1.140338
339,178.319,False,2.31593,6.9e-05,0.0,0.0
340,178.999,True,1.075199,1.110798,1.148945,1.140269
